subject,age,gender,edu,english,encoding_instruction_condition,encoding_task_condition,recall_instruction_condition,aware,list,output 1,output 2,output 3,output 4,output 5,output 6,output 7,output 8,output 9,output 10,output 11,output 12,output 13,output 14,output 15,output 16,output 17,output 18,output 19,output 20,output 21,output 22,output 23,output 24,output 25
29,,,,,Incidental,Animacy,Free,no,0,1,-999,14,4,,,,,,,,,,,,,,,,,,,,,
29,,,,,Incidental,Animacy,Free,no,1,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,
30,,,,,Incidental,Animacy,Free,no,0,7,8,2,11,8,-999,,,,,,,,,,,,,,,,,,,
30,,,,,Incidental,Animacy,Free,no,1,10,11,3,16,,,,,,,,,,,,,,,,,,,,,
31,,,,,Incidental,Animacy,Free,no,0,12,5,7,14,6,3,10,8,13,11,15,,,,,,,,,,,,,,
31,,,,,Incidental,Animacy,Free,no,1,7,5,11,13,7,12,16,9,3,,,,,,,,,,,,,,,,
32,,,,,Incidental,Animacy,Free,no,0,4,6,14,11,8,1,13,16,7,,,,,,,,,,,,,,,,
32,,,,,Incidental,Animacy,Free,no,1,15,1,9,11,16,6,16,,,,,,,,,,,,,,,,,,
33,,,,,Incidental,Animacy,Free,no,0,10,8,13,12,14,3,7,,,,,,,,,,,,,,,,,,
33,,,,,Incidental,Animacy,Free,no,1,1,11,9,15,,,,,,,,,,,,,,,,,,,,,
34,,,,,Incidental,Animacy,Free,no,0,16,12,14,-999,6,,,,,,,,,,,,,,,,,,,,
34,,,,,Incidental,Animacy,Free,no,1,9,5,10,7,4,12,,,,,,,,,,,,,,,,,,,
35,,,,,Incidental,Animacy,Free,no,0,15,8,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,Incidental,Animacy,Free,no,1,5,14,12,11,10,7,,,,,,,,,,,,,,,,,,,
36,,,,,Incidental,Animacy,Free,no,0,13,5,7,12,10,8,15,,,,,,,,,,,,,,,,,,
36,,,,,Incidental,Animacy,Free,no,1,2,15,3,10,6,14,,,,,,,,,,,,,,,,,,,
37,,,,,Incidental,Animacy,Free,no,0,15,12,8,10,13,11,,,,,,,,,,,,,,,,,,,
37,,,,,Incidental,Animacy,Free,no,1,1,4,6,15,13,-999,16,,,,,,,,,,,,,,,,,,
38,,,,,Incidental,Animacy,Free,no,0,2,1,15,3,14,-999,,,,,,,,,,,,,,,,,,,
38,,,,,Incidental,Animacy,Free,no,1,1,16,2,15,6,5,4,,,,,,,,,,,,,,,,,,
39,,,,,Incidental,Animacy,Free,no,0,7,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,Incidental,Animacy,Free,no,1,4,12,3,10,1,,,,,,,,,,,,,,,,,,,,
40,,,,,Incidental,Animacy,Free,no,0,-999,16,12,15,-999,,,,,,,,,,,,,,,,,,,,
40,,,,,Incidental,Animacy,Free,no,1,16,15,14,-999,2,7,,,,,,,,,,,,,,,,,,,
41,,,,,Incidental,Animacy,Free,no,0,16,15,14,1,3,6,9,5,13,,,,,,,,,,,,,,,,
41,,,,,Incidental,Animacy,Free,no,1,15,6,1,5,12,16,10,,,,,,,,,,,,,,,,,,
42,,,,,Incidental,Animacy,Free,no,0,16,15,5,11,14,,,,,,,,,,,,,,,,,,,,
42,,,,,Incidental,Animacy,Free,no,1,11,16,9,15,8,5,6,,,,,,,,,,,,,,,,,,
43,,,,,Incidental,Animacy,Free,no,0,14,7,15,5,2,9,7,6,1,,,,,,,,,,,,,,,,
43,,,,,Incidental,Animacy,Free,no,1,1,9,2,7,16,-1,,,,,,,,,,,,,,,,,,,
44,,,,,Incidental,Animacy,Free,no,0,8,4,15,3,5,,,,,,,,,,,,,,,,,,,,
44,,,,,Incidental,Animacy,Free,no,1,16,5,15,3,9,11,,,,,,,,,,,,,,,,,,,
45,,,,,Incidental,Animacy,Free,no,0,1,12,13,5,9,3,14,,,,,,,,,,,,,,,,,,
45,,,,,Incidental,Animacy,Free,no,1,2,15,5,16,8,3,,,,,,,,,,,,,,,,,,,
